replicate_name	sample_name	read1	read2
139-2607_S24	139	139-2607_S24_R1_001.fastq.gz	139-2607_S24_R2_001.fastq.gz
140-2068-2_S92	140	140-2068-2_S92_R1_001.fastq.gz	140-2068-2_S92_R2_001.fastq.gz
140-2068-3_S91	140	140-2068-3_S91_R1_001.fastq.gz	140-2068-3_S91_R2_001.fastq.gz
140-2068_S92	140	140-2068_S92_R1_001.fastq.gz	140-2068_S92_R2_001.fastq.gz
140-D12_S47	140	140-D12_S47_R1_001.fastq.gz	140-D12_S47_R2_001.fastq.gz
141-2383_S26	141	141-2383_S26_R1_001.fastq.gz	141-2383_S26_R2_001.fastq.gz
141-2536_S26	141	141-2536_S26_R1_001.fastq.gz	141-2536_S26_R2_001.fastq.gz
141-2543_S25	141	141-2543_S25_R1_001.fastq.gz	141-2543_S25_R2_001.fastq.gz
141-2607_S25	141	141-2607_S25_R1_001.fastq.gz	141-2607_S25_R2_001.fastq.gz
142-2068-2_S5	142	142-2068-2_S5_R1_001.fastq.gz	142-2068-2_S5_R2_001.fastq.gz
142-2068-3_S5	142	142-2068-3_S5_R1_001.fastq.gz	142-2068-3_S5_R2_001.fastq.gz
142-2068_S5	142	142-2068_S5_R1_001.fastq.gz	142-2068_S5_R2_001.fastq.gz
142-E01_S48	142	142-E01_S48_R1_001.fastq.gz	142-E01_S48_R2_001.fastq.gz
143-2068-2_S13	143	143-2068-2_S13_R1_001.fastq.gz	143-2068-2_S13_R2_001.fastq.gz
143-2068-3_S13	143	143-2068-3_S13_R1_001.fastq.gz	143-2068-3_S13_R2_001.fastq.gz
143-2068_S13	143	143-2068_S13_R1_001.fastq.gz	143-2068_S13_R2_001.fastq.gz
143-E02_S49	143	143-E02_S49_R1_001.fastq.gz	143-E02_S49_R2_001.fastq.gz
145-2068-2_S21	145	145-2068-2_S21_R1_001.fastq.gz	145-2068-2_S21_R2_001.fastq.gz
145-2068-3_S21	145	145-2068-3_S21_R1_001.fastq.gz	145-2068-3_S21_R2_001.fastq.gz
145-2068_S21	145	145-2068_S21_R1_001.fastq.gz	145-2068_S21_R2_001.fastq.gz
145-E03_S50	145	145-E03_S50_R1_001.fastq.gz	145-E03_S50_R2_001.fastq.gz
146-2383_S27	146	146-2383_S27_R1_001.fastq.gz	146-2383_S27_R2_001.fastq.gz
146-2536_S27	146	146-2536_S27_R1_001.fastq.gz	146-2536_S27_R2_001.fastq.gz
146-2543_S26	146	146-2543_S26_R1_001.fastq.gz	146-2543_S26_R2_001.fastq.gz
146-2607_S26	146	146-2607_S26_R1_001.fastq.gz	146-2607_S26_R2_001.fastq.gz
147-2068-2_S29	147	147-2068-2_S29_R1_001.fastq.gz	147-2068-2_S29_R2_001.fastq.gz
147-2068_S29	147	147-2068_S29_R1_001.fastq.gz	147-2068_S29_R2_001.fastq.gz
147-E04_S51	147	147-E04_S51_R1_001.fastq.gz	147-E04_S51_R2_001.fastq.gz
149-2389_S42	149	149-2389_S42_R1_001.fastq.gz	149-2389_S42_R2_001.fastq.gz
149-2478_S42	149	149-2478_S42_R1_001.fastq.gz	149-2478_S42_R2_001.fastq.gz
149-D06-2537_S42	149	149-D06-2537_S42_R1_001.fastq.gz	149-D06-2537_S42_R2_001.fastq.gz
149-D06_S42	149	149-D06_S42_R1_001.fastq.gz	149-D06_S42_R2_001.fastq.gz
15-2068-2_S49	15	15-2068-2_S49_R1_001.fastq.gz	15-2068-2_S49_R2_001.fastq.gz
15-2068-3_S48	15	15-2068-3_S48_R1_001.fastq.gz	15-2068-3_S48_R2_001.fastq.gz
15-2068_S49	15	15-2068_S49_R1_001.fastq.gz	15-2068_S49_R2_001.fastq.gz
15-A07_S7	15	15-A07_S7_R1_001.fastq.gz	15-A07_S7_R2_001.fastq.gz
150-2383_S28	150	150-2383_S28_R1_001.fastq.gz	150-2383_S28_R2_001.fastq.gz
150-2536_S28	150	150-2536_S28_R1_001.fastq.gz	150-2536_S28_R2_001.fastq.gz
