replicate_name	sample_name	read1	read2
307	307	307_R1_001.fastq.gz	307_R2_001.fastq.gz
308	308	308_R1_001.fastq.gz	308_R2_001.fastq.gz
309	309	309_R1_001.fastq.gz	309_R2_001.fastq.gz
310	310	310_R1_001.fastq.gz	310_R2_001.fastq.gz
311	311	311_R1_001.fastq.gz	311_R2_001.fastq.gz
312	312	312_R1_001.fastq.gz	312_R2_001.fastq.gz
313	313	313_R1_001.fastq.gz	313_R2_001.fastq.gz
314	314	314_R1_001.fastq.gz	314_R2_001.fastq.gz
316	316	316_R1_001.fastq.gz	316_R2_001.fastq.gz
317	317	317_R1_001.fastq.gz	317_R2_001.fastq.gz
318	318	318_R1_001.fastq.gz	318_R2_001.fastq.gz
319	319	319_R1_001.fastq.gz	319_R2_001.fastq.gz
322	322	322_R1_001.fastq.gz	322_R2_001.fastq.gz
323	323	323_R1_001.fastq.gz	323_R2_001.fastq.gz
324	324	324_R1_001.fastq.gz	324_R2_001.fastq.gz
325	325	325_R1_001.fastq.gz	325_R2_001.fastq.gz
326	326	326_R1_001.fastq.gz	326_R2_001.fastq.gz
327	327	327_R1_001.fastq.gz	327_R2_001.fastq.gz
328	328	328_R1_001.fastq.gz	328_R2_001.fastq.gz
329	329	329_R1_001.fastq.gz	329_R2_001.fastq.gz
330	330	330_R1_001.fastq.gz	330_R2_001.fastq.gz
331	331	331_R1_001.fastq.gz	331_R2_001.fastq.gz
332	332	332_R1_001.fastq.gz	332_R2_001.fastq.gz
333	333	333_R1_001.fastq.gz	333_R2_001.fastq.gz
335	335	335_R1_001.fastq.gz	335_R2_001.fastq.gz
336	336	336_R1_001.fastq.gz	336_R2_001.fastq.gz
337	337	337_R1_001.fastq.gz	337_R2_001.fastq.gz
338	338	338_R1_001.fastq.gz	338_R2_001.fastq.gz
339	339	339_R1_001.fastq.gz	339_R2_001.fastq.gz
340	340	340_R1_001.fastq.gz	340_R2_001.fastq.gz
342	342	342_R1_001.fastq.gz	342_R2_001.fastq.gz
343	343	343_R1_001.fastq.gz	343_R2_001.fastq.gz
344	344	344_R1_001.fastq.gz	344_R2_001.fastq.gz
345	345	345_R1_001.fastq.gz	345_R2_001.fastq.gz
346	346	346_R1_001.fastq.gz	346_R2_001.fastq.gz
349	349	349_R1_001.fastq.gz	349_R2_001.fastq.gz
350	350	350_R1_001.fastq.gz	350_R2_001.fastq.gz
351	351	351_R1_001.fastq.gz	351_R2_001.fastq.gz
352	352	352_R1_001.fastq.gz	352_R2_001.fastq.gz
355	355	355_R1_001.fastq.gz	355_R2_001.fastq.gz
